GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
1WIRE          ,8-Oct-2012,8-Oct-2012,76.48,UIA 130              
1WIRE          ,8-Jun-2017,8-Jun-2017,16588.81,UIA-1785             
1WIRE          ,2-Aug-2016,2-Aug-2016,0.10,UIA-1500             
1WIRE          ,11-Mar-2013,11-Mar-2013,21482.11,UIA-262              
1WIRE          ,7-Jul-2017,7-Jul-2017,7382.65,2877
1WIRE          ,7-Jul-2017,7-Jul-2017,16221.34,UIA-1813             
AARON54067     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150381      
AASE2761       ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151879      
ABAYAKOON6146  ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000150696      
ABEGG58139     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152627      
ABEL56818      ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000149609      
ABERNATHY52667 ,1-May-2016,26-May-2016,30.00,EPIV00000082411      
ABERNATHY52667 ,1-Mar-2016,26-Mar-2016,30.00,EPIV00000075018      
ABERNATHY52667 ,1-Apr-2016,26-Apr-2016,30.00,SALES00002224        
ABERNATHY52667 ,1-Jun-2016,26-Jun-2016,30.00,EPIV00000086307      
ABERNATHY52667 ,1-Jul-2016,26-Jul-2016,30.00,EPIV00000090355      
ABEYTA0483     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150472      
ABLES52504     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153369      
ABRAMSON1416   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146194      
ABRAMSON1416   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152212      
ACHZIGER8794   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151686      
ACREE54714     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148049      
ADAM1189       ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152068      
ADAMS51545     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148720      
ADAMS53412     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148365      
ADAMS53702     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149431      
ADAMS53823     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149814      
ADAMS56700     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152247      
ADAMS56824     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151772      
ADAMS56824     ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000145776      
ADAMS57061     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147914      
ADAMS57120     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152894      
ADAMS58674     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150121      
ADAMS59954     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150204      
ADAMS6314      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149080      
ADAMS7716      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148041      
ADAMSON50437   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149817      
ADAMSON55084   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150986      
ADAMSON56485   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148464      
ADDERLEY0316   ,1-Jul-2017,26-Jul-2017,15.00,EPIV00000148971      
ADDISON53898   ,1-May-2017,26-May-2017,30.00,EPIV00000138577      
ADDISON53898   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000144324      
ADDISON53898   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150288      
ADZITSO53031   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000145979      
ADZITSO53031   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151987      
AFUALO51036    ,1-Oct-2014,26-Oct-2014,31.50,EPIV00000031834      
AFUALO51036    ,1-Aug-2014,26-Aug-2014,31.50,EPIV00000027841      
AFUALO51036    ,1-Sep-2014,26-Sep-2014,31.50,EPIV00000029824      
AGUIRRE3119    ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000152263      
AHLES55914     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150571      
AHLQUIST8013   ,1-Jul-2017,26-Jul-2017,15.00,EPIV00000150805      
AHLSTROM60557  ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000147298      
AHLSTROM60557  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153351      
AHLSTROM60557  ,2-May-2017,27-May-2017,30.00,EPIV00000141427      
AHO52566       ,1-May-2016,26-May-2016,30.00,EPIV00000082983      
AHO54195       ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147749      
AKANA51243     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153145      
AKI57595       ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000149439      
ALAMILLA5301   ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000153284      
ALBA60066      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152358      
ALBERTELLI55102,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149665      
ALBURY4139     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152884      
ALEXANDER708   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149840      
ALFONSO55416   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147757      
ALJAMEELI59995 ,1-May-2017,26-May-2017,30.00,EPIV00000139263      
ALJAMEELI59995 ,12-Jun-2017,7-Jul-2017,220.00,SALES00003345        
ALJAMEELI59995 ,1-Mar-2017,26-Mar-2017,30.00,EPIV00000128216      
ALJAMEELI59995 ,1-Apr-2017,26-Apr-2017,30.00,EPIV00000133678      
ALLAN1675      ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000151895      
ALLDREDGE59270 ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150759      
ALLEMAN1894    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150143      
ALLEN1589      ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000150845      
ALLEN1896      ,1-Jun-2017,25-Jun-2017,30.00,EPIV00000143674      
ALLEN1896      ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000149601      
ALLEN1897      ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000152829      
ALLEN2924      ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000148979      
ALLEN51496     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153271      
ALLEN51883     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151463      
ALLEN53577     ,29-Jun-2017,1-Jan-1900,-30.00,PYMNT00037699        
ALLEN53613     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151378      
ALLEN53925     ,1-May-2017,26-May-2017,30.00,EPIV00000140313      
ALLEN53925     ,1-Apr-2017,26-Apr-2017,30.00,EPIV00000134696      
ALLEN53925     ,12-Jun-2017,7-Jul-2017,50.00,SALES00003330        
ALLEN53925     ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146135      
ALLEN54370     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153268      
ALLEN54993     ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000148192      
ALLEN55682     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150399      
ALLEN56607     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149140      
ALLEN57039     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152383      
ALLEN57039     ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146361      
ALLEN57039     ,1-May-2017,26-May-2017,30.00,EPIV00000140534      
ALLEN57461     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150202      
ALLEN57709     ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000151213      
ALLEN59592     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150715      
ALLEN60047     ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000141794      
ALLEN60047     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147658      
ALLISON1037    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152686      
ALLRED1594     ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000150505      
ALLRED3653     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150955      
ALLRED5086     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150724      
ALLRED52751    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150099      
ALLRED53236    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151577      
ALLRED54997    ,1-Dec-2016,26-Dec-2016,30.00,EPIV00000110054      
ALLRED54997    ,1-Jan-2017,26-Jan-2017,30.00,EPIV00000114904      
ALLRED55008    ,1-Apr-2016,26-Apr-2016,30.00,EPIV00000078784      
ALLRED55008    ,1-Jun-2016,26-Jun-2016,30.00,EPIV00000086413      
ALLRED55008    ,1-May-2016,26-May-2016,30.00,EPIV00000082515      
ALLRED55008    ,1-Mar-2016,26-Mar-2016,30.00,EPIV00000075210      
ALLRED57667    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152835      
ALLRED58941    ,1-Dec-2016,26-Dec-2016,31.50,EPIV00000114097      
ALLRED58941    ,1-Mar-2017,26-Mar-2017,31.50,EPIV00000129586      
ALLRED58941    ,1-Jan-2017,26-Jan-2017,31.50,EPIV00000119082      
ALLRED58941    ,1-Feb-2017,26-Feb-2017,31.50,EPIV00000124256      
ALLRED59963    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150879      
ALLRED61302    ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000147854      
ALLSUP1899     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152022      
ALTAMIRANO58947,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152832      
ALVARADO57245  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153273      
ALVAREZ58911   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147944      
ALVEY5503      ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000151604      
AMANN55477     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147894      
AMONETT58934   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148832      
ANDERBERG60326 ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000142688      
ANDERBERG60326 ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148580      
ANDERSEN1900   ,1-Mar-2016,25-Mar-2016,25.00,EPIV00000073903      
ANDERSEN1901   ,1-Jun-2017,26-Jun-2017,15.00,EPIV00000143240      
ANDERSEN1901   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149158      
ANDERSEN2568   ,1-Aug-2016,25-Aug-2016,30.00,EPIV00000095866      
ANDERSEN2568   ,1-Jul-2016,25-Jul-2016,30.00,EPIV00000091619      
ANDERSEN2568   ,1-Apr-2016,25-Apr-2016,30.00,EPIV00000079790      
ANDERSEN54823  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151453      
ANDERSEN61039  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150398      
ANDERSEN9192   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146973      
ANDERSEN9192   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153018      
ANDERSON1903   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150884      
ANDERSON1904   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150522      
ANDERSON1905   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150712      
ANDERSON1906   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152726      
ANDERSON2811   ,1-Jul-2017,26-Jul-2017,15.00,EPIV00000147440      
ANDERSON3756   ,1-Jul-2017,26-Jul-2017,28.00,EPIV00000147650      
ANDERSON3819   ,3-Oct-2016,1-Jan-1900,-60.00,WEBPMT0000072597     
ANDERSON4963   ,1-Jul-2017,31-Jul-2017,30.00,EPIV00000147470      
ANDERSON52246  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149838      
ANDERSON52662  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151485      
ANDERSON52867  ,1-Jun-2017,26-Jun-2017,31.50,EPIV00000142019      
ANDERSON52867  ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000147891      
ANDERSON53084  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151566      
ANDERSON53401  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152415      
ANDERSON53516  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150865      
ANDERSON54638  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151587      
ANDERSON54777  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148034      
ANDERSON56377  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151941      
