GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
AVILES1563     ,25-Oct-12,1-Oct-12,30,Contract UIAL0538JS            
BARFUSS1919    ,25-Oct-12,1-Oct-12,25,Contract UIA-242222-           
OLSON52131     ,26-Jul-15,1-Jul-15,30,EPIV00000050306                
BILLS1843      ,25-Sep-12,1-Sep-12,30,Contract UIAL8799DB            
UIAOREM        ,31-Jan-17,1-Jan-17,30,Shumway52571 10 - YEAR         
UIAOREM        ,31-Jan-17,1-Jan-17,30,Corbin52973 10 - Year          
UIAOREM        ,30-Jan-17,1-Jan-17,30,Eastman53458 10 - YEAR         
UIAOREM        ,30-Jan-17,1-Jan-17,30,Sorenson53273 10 - YEAR        
UIAOREM        ,31-Jan-17,1-Jan-17,25,Harding4071 20 - YEAR          
UIAOREM        ,31-Jan-17,1-Jan-17,25,Cragun54358 20 - YEAR          
UIAOREM        ,31-Jan-17,1-Jan-17,30,Riser54398 10 - YEAR           
UIAOREM        ,30-Jan-17,1-Jan-17,30,Azcuy54786 10 - YEAR           
UIAOREM        ,31-Jan-17,1-Jan-17,30,Rich54968 10 - YEAR            
UIAOREM        ,30-Jan-17,1-Jan-17,25,Beyer56280 20 - YEAR           
UIAOREM        ,30-Jan-17,1-Jan-17,30,Lindsay56788 10 - YEAR         
UIAOREM        ,30-Jan-17,1-Jan-17,25,Sewell53246 20 - YEAR          
UIAOREM        ,31-Jan-17,1-Jan-17,25,Fruits58138 20 - YEAR          
UIAOREM        ,31-Jan-17,1-Jan-17,25,Henry58166 20 - YEAR           
UIAOREM        ,30-Jan-17,1-Jan-17,30,Soter55618 10 - YEAR           
UIAOREM        ,30-Jan-17,1-Jan-17,30,Castro58380 10 - YEAR          
UIAOREM        ,30-Jan-17,1-Jan-17,30,Stephenson58103 10 - YEAR      
UIAOREM        ,31-Jan-17,1-Jan-17,25,Lallatin58622 20 - YEAR        
UIAOREM        ,31-Jan-17,1-Jan-17,30,Muffler58982 10 - YEAR         
UIAOREM        ,31-Jan-17,1-Jan-17,25,Scott55409 20 - YEAR           
UIAOREM        ,31-Jan-17,1-Jan-17,25,Garces59207 20 - YEAR          
POULSEN2311    ,25-Mar-13,1-Mar-13,25,Contract UIAR4552              
PURCELL1661    ,25-Mar-13,1-Mar-13,30,Contract UIAL4957JC            
REESE2328      ,25-Mar-13,1-Mar-13,25,Contract UIAR0523              
RIGBY2336      ,25-Mar-13,1-Mar-13,25,Contract UIA-268071-           
SAMUELSON1863  ,25-Mar-13,1-Mar-13,30,Contract UIAL3508BF            
SISLER3631     ,25-Mar-13,1-Mar-13,30,Contract UIAL8665LM            
SJERVEN2366    ,25-Mar-13,1-Mar-13,25,Contract UIAR4186              
SMITH1595      ,25-Mar-13,1-Mar-13,30,Contract UIAL6713MB            
SMITH4142      ,25-Mar-13,1-Mar-13,25,Contract UIAL8864AC            
SMITH4142      ,25-Mar-13,1-Mar-13,25,Contract UIAR8864              
GIRLS1664      ,25-Dec-12,1-Dec-12,30,Contract UIAL4632LM            
GOLDSMITH1712  ,25-Dec-12,1-Dec-12,30,Contract UIAL1638SM            
STEWART2521    ,25-Mar-13,1-Mar-13,39,Contract UIALTO3               
STRONG3601     ,25-Mar-13,1-Mar-13,25,Contract UIAR2058              
STUECK2495     ,25-Mar-13,1-Mar-13,25,Contract U2U34                 
TAFT3462       ,25-Mar-13,1-Mar-13,25,Contract UIAR1675b             
THEOBALD3065   ,25-Mar-13,1-Mar-13,25,Contract UIA-17-373            
